招录机关名称	招录职位名称	招录职位编码	缴费状况（缴费人数与招录名额的比例区间）
达州市交通运输局	工作人员（一）	26112014	≥ 5:1 且 < 30:1
达州市交通运输局	工作人员（二）	26112015	< 5:1
达州市水务局	工作人员	26112016	< 5:1
达州市审计局	工作人员	26112017	< 5:1
达州市城市管理行政执法局	工作人员（一）	26112018	< 5:1
达州市城市管理行政执法局	工作人员（二）	26112019	< 5:1
达州市城市管理行政执法局	工作人员（三）	26112020	< 5:1
达州市医疗保障局	工作人员（一）	26112021	< 5:1
达州市医疗保障局	工作人员（二）	26112022	< 5:1
达州市机关事务服务中心	工作人员	26112023	< 5:1
达州市人民防空办公室	工作人员	26112024	< 5:1
达州市残疾人联合会	工作人员	26112025	≥ 5:1 且 < 30:1
中国国际贸易促进委员会巴中市委员会	综合管理	26113001	≥ 5:1 且 < 30:1
市自然资源和规划局巴州分局	资源管理（一）	26113002	≥ 5:1 且 < 30:1
市自然资源和规划局巴州分局	资源管理（二）	26113003	≥ 5:1 且 < 30:1
市自然资源和规划局巴州分局	资源管理（三）	26113004	< 5:1
市人力资源和社会保障局	综合管理	26113005	≥ 30:1 且 < 50:1
市投资促进局	招商专员	26113006	≥ 5:1 且 < 30:1
市财政票据监管中心	财政监管	26113007	≥ 5:1 且 < 30:1
广安市航务海事事务中心	行政服务（一）	26114002	≥ 5:1 且 < 30:1
广安市航务海事事务中心	行政服务（二）	26114003	≥ 5:1 且 < 30:1
广安市航务海事事务中心	行政服务	26114004	≥ 5:1 且 < 30:1
宜宾市自然资源和规划局	工作人员	26115001	< 5:1
宜宾市自然资源和规划局	工作人员	26115002	≥ 5:1 且 < 30:1
宜宾市自然资源和规划局	工作人员	26115003	≥ 5:1 且 < 30:1
宜宾市自然资源和规划局	工作人员	26115004	< 5:1
宜宾市金融工作局	工作人员	26115007	≥ 5:1 且 < 30:1
中共宜宾市委党校	工作人员	26115008	≥ 5:1 且 < 30:1
中共宜宾市委党校	工作人员	26115009	< 5:1
宜宾市普查中心	工作人员	26115015	< 5:1
宜宾市经济社会调查队	工作人员	26115016	< 5:1
宜宾市水产渔业站（市渔政监察支队）	工作人员	26115017	< 5:1
宜宾三江新区	工作人员	26115018	≥ 30:1 且 < 50:1
宜宾三江新区	工作人员	26115019	≥ 5:1 且 < 30:1
雅安市财政局	综合管理人员	26116001	≥ 5:1 且 < 30:1
雅安市自然资源和规划局	综合管理人员	26116002	≥ 5:1 且 < 30:1
中共雅安市委党校	综合管理人员	26116004	≥ 5:1 且 < 30:1
雅安市住房保障和房地产事务中心	财务管理人员	26116005	< 5:1
雅安市公路建设服务中心	综合管理人员	26116006	< 5:1
雅安市公路建设服务中心	财务管理人员	26116007	< 5:1
雅安市森林病虫防治检疫站	综合管理人员	26116008	< 5:1
阿坝州教育局	综合管理	26117003	≥ 5:1 且 < 30:1
阿坝州科学技术协会	综合文秘	26117004	≥ 30:1 且 < 50:1
州纪委监委派驻纪检监察组（一）	综合管理	26118001	< 5:1
州纪委监委派驻纪检监察组（二）	综合管理	26118002	< 5:1
州财政局	综合管理	26118003	≥ 5:1 且 < 30:1
州生态环境局（一）	综合管理	26118004	< 5:1
州生态环境局（二）	财务管理	26118005	< 5:1
州农牧农村局（一）	综合管理	26118006	< 5:1
州农牧农村局（二）	综合管理	26118007	< 5:1
州农牧农村局（三）	综合管理	26118008	< 5:1
州林业和草原局	综合管理	26118009	< 5:1
州商务和经济合作局	综合管理	26118010	≥ 30:1 且 < 50:1
州市场监督管理局（一）	综合管理	26118011	< 5:1
州市场监督管理局（二）	综合管理	26118012	< 5:1
喇荣寺管理委员会（一）	综合管理	26118013	< 5:1
喇荣寺管理委员会（二）	综合管理	26118014	≥ 5:1 且 < 30:1
亚青寺管理委员会（一）	综合管理	26118015	< 5:1
亚青寺管理委员会（二）	综合管理	26118016	< 5:1
州公路运输服务中心（一）	财务管理	26118017	< 5:1
州公路运输服务中心（二）	综合管理	26118018	≥ 5:1 且 < 30:1
州公路建设服务中心（一）	综合管理	26118019	< 5:1
州公路建设服务中心（二）	综合管理	26118020	< 5:1
州公路建设服务中心（三）	财务管理	26118021	< 5:1
州公路建设服务中心（四）	综合管理	26118022	< 5:1
州公路建设服务中心（五）	综合管理	26118023	< 5:1
州统计局普查中心	综合管理	26118024	< 5:1
州档案馆	综合管理	26118025	< 5:1
州藏学研究所	综合管理	26118026	< 5:1
凉山州财政局	工作人员	26119001	≥ 5:1 且 < 30:1
凉山州人力资源和社会保障局	人力资源流动管理	26119002	≥ 5:1 且 < 30:1
凉山州人力资源和社会保障局	信息管理	26119003	≥ 5:1 且 < 30:1
凉山州审计局	审计人员	26119006	< 5:1
凉山州金融工作局	工作人员	26119007	< 5:1
凉山州国库集中支付中心	业务人员	26119008	< 5:1
凉山州社会保险事业管理局	文秘	26119009	≥ 5:1 且 < 30:1
凉山州公路养护事业发展中心	工程	26119035	< 5:1
凉山州农村经营管理站	工作人员	26119036	< 5:1
凉山州蚕业产业发展中心	工作人员	26119037	≥ 5:1 且 < 30:1
凉山州应急管理综合行政执法支队	财务人员	26119038	< 5:1
凉山州应急管理综合行政执法支队	执法人员	26119039	< 5:1
凉山州应急管理综合行政执法支队	执法人员	26119040	≥ 5:1 且 < 30:1
凉山州应急管理综合行政执法支队	执法人员	26119041	< 5:1
凉山州应急管理综合行政执法支队	执法人员	26119042	≥ 5:1 且 < 30:1
凉山州医疗保障事务中心	财务人员	26119043	< 5:1
成都东部新区	综合管理岗	26201062	≥ 5:1 且 < 30:1
成都东部新区	综合管理岗	26201063	≥ 30:1 且 < 50:1
成都东部新区	综合管理岗	26201064	≥ 5:1 且 < 30:1
成都东部新区	综合管理岗	26201065	≥ 5:1 且 < 30:1
成都东部新区	综合管理岗	26201066	≥ 5:1 且 < 30:1
成都东部新区	综合管理岗	26201067	≥ 30:1 且 < 50:1
成都市锦江区	综合管理	26201068	≥ 5:1 且 < 30:1
成都市锦江区	综合管理	26201069	≥ 5:1 且 < 30:1
成都市锦江区	综合管理	26201070	≥ 5:1 且 < 30:1
成都市锦江区	综合管理（一）	26201071	≥ 5:1 且 < 30:1
成都市锦江区	综合管理（二）	26201072	≥ 5:1 且 < 30:1
成都市锦江区	综合管理（三）	26201073	≥ 30:1 且 < 50:1
成都市锦江区	综合管理（四）	26201074	≥ 5:1 且 < 30:1
成都市锦江区	综合管理（五）	26201075	≥ 5:1 且 < 30:1
成都市锦江区	综合管理（六）	26201076	≥ 50:1 且 < 100:1
成都市青羊区	信息管理	26201085	< 5:1
成都市青羊区	责任编辑	26201086	≥ 5:1 且 < 30:1
成都市青羊区	行政服务	26201087	< 5:1
成都市青羊区	综合文稿	26201088	≥ 5:1 且 < 30:1
成都市青羊区	内部审计	26201089	≥ 5:1 且 < 30:1
成都市青羊区	待遇审核	26201090	≥ 5:1 且 < 30:1
成都市青羊区	医疗保险	26201091	≥ 5:1 且 < 30:1
成都市青羊区	财务管理	26201092	≥ 5:1 且 < 30:1
成都市青羊区	统计调查	26201101	≥ 5:1 且 < 30:1
成都市青羊区	财务管理	26201102	< 5:1
成都市青羊区	城市建设	26201103	< 5:1
成都市青羊区	政务服务	26201104	≥ 5:1 且 < 30:1
成都市金牛区	档案管理	26201105	< 5:1
成都市金牛区	经济统计	26201106	≥ 5:1 且 < 30:1
成都市金牛区	财务管理（一）	26201121	≥ 5:1 且 < 30:1
成都市金牛区	财务管理（二）	26201122	≥ 5:1 且 < 30:1
成都市金牛区	综合管理（一）	26201123	< 5:1
成都市金牛区	综合管理（二）	26201124	≥ 5:1 且 < 30:1
成都市金牛区	综合管理（三）	26201125	≥ 50:1 且 < 100:1
成都市金牛区	综合管理（四）	26201126	≥ 30:1 且 < 50:1
成都市金牛区	综合管理（五）	26201127	≥ 5:1 且 < 30:1
成都市金牛区	综合管理（六）	26201128	≥ 5:1 且 < 30:1
成都市武侯区	老干服务	26201129	≥ 30:1 且 < 50:1
成都市武侯区	财务管理	26201130	≥ 30:1 且 < 50:1
成都市武侯区	就业服务	26201131	≥ 5:1 且 < 30:1
成都市武侯区	社保服务	26201132	≥ 5:1 且 < 30:1
成都市武侯区	市政工程管理	26201133	≥ 50:1 且 < 100:1
成都市武侯区	交通运输管理	26201134	≥ 5:1 且 < 30:1
成都市武侯区	园林管理	26201135	≥ 5:1 且 < 30:1
成都市武侯区	综合管理（一）	26201136	< 5:1
成都市武侯区	综合管理（二）	26201137	≥ 5:1 且 < 30:1
成都市武侯区	综合管理（三）	26201138	< 5:1
成都市武侯区	商务服务	26201139	≥ 5:1 且 < 30:1
成都市武侯区	大数据应用管理	26201140	< 5:1
成都市成华区	业务岗位	26201152	≥ 5:1 且 < 30:1
成都市成华区	业务岗位	26201153	≥ 5:1 且 < 30:1
成都市成华区	业务岗位	26201154	≥ 5:1 且 < 30:1
成都市成华区	业务岗位（一）	26201155	≥ 30:1 且 < 50:1
成都市成华区	业务岗位（二）	26201156	< 5:1
成都市成华区	业务岗位（一）	26201157	< 5:1
成都市成华区	业务岗位（二）	26201158	≥ 50:1 且 < 100:1
成都市成华区	业务岗位	26201159	≥ 5:1 且 < 30:1
成都市龙泉驿区	财务管理	26201168	< 5:1
成都市龙泉驿区	公路管理	26201169	< 5:1
成都市龙泉驿区	财务管理	26201170	< 5:1
成都市龙泉驿区	综合管理	26201177	≥ 50:1 且 < 100:1
成都市青白江区	党务管理	26201178	< 5:1
成都市青白江区	党史研究	26201179	≥ 5:1 且 < 30:1
成都市青白江区	档案编研	26201180	≥ 5:1 且 < 30:1
成都市青白江区	财政监管	26201181	≥ 5:1 且 < 30:1
成都市青白江区	信息建设	26201182	≥ 5:1 且 < 30:1
成都市青白江区	统计普查	26201183	≥ 5:1 且 < 30:1
成都市青白江区	住房保障	26201184	< 5:1
成都市新都区	财务管理	26201188	≥ 5:1 且 < 30:1
成都市新都区	数据分析	26201189	≥ 5:1 且 < 30:1
成都市新都区	资金监管	26201190	≥ 5:1 且 < 30:1
成都市新都区	智慧城市	26201195	≥ 5:1 且 < 30:1
成都市新都区	综合管理	26201196	≥ 5:1 且 < 30:1
成都市新都区	经济建设	26201197	≥ 5:1 且 < 30:1
成都市温江区	登记管理	26201198	≥ 5:1 且 < 30:1
成都市温江区	信息化建设	26201199	≥ 5:1 且 < 30:1
成都市温江区	政策宣传	26201200	≥ 5:1 且 < 30:1
成都市温江区	平台建设	26201201	≥ 30:1 且 < 50:1
成都市温江区	物业监管	26201202	< 5:1
成都市温江区	综合管理	26201203	< 5:1
成都市温江区	规划研究	26201209	≥ 5:1 且 < 30:1
成都市温江区	综合管理	26201210	≥ 5:1 且 < 30:1
成都市温江区	防汛管理	26201211	≥ 5:1 且 < 30:1
成都市温江区	法规审核	26201212	< 5:1
成都市温江区	水务规划	26201213	< 5:1
成都市温江区	信息化管理	26201217	≥ 5:1 且 < 30:1
成都市温江区	信息化管理	26201218	< 5:1
成都市温江区	综合管理	26201219	< 5:1
成都市温江区	信息化建设	26201220	≥ 30:1 且 < 50:1
成都市温江区	媒体设计	26201221	≥ 50:1 且 < 100:1
成都市温江区	社科理论研究	26201222	≥ 5:1 且 < 30:1
成都市双流区	教学培训岗	26201223	< 5:1
成都市双流区	综合业务岗	26201224	≥ 5:1 且 < 30:1
成都市双流区	综合业务岗	26201225	< 5:1
成都市郫都区	文秘	26201226	≥ 5:1 且 < 30:1
成都市郫都区	党史研究	26201227	< 5:1
成都市郫都区	财务岗位	26201228	≥ 5:1 且 < 30:1
成都市郫都区	综合岗位	26201229	≥ 5:1 且 < 30:1
成都市郫都区	工程审计	26201230	≥ 30:1 且 < 50:1
成都市郫都区	项目招引	26201231	< 5:1
成都市新津区	综合管理	26201243	≥ 5:1 且 < 30:1
成都市新津区	综合管理	26201245	≥ 5:1 且 < 30:1
成都市新津区	综合管理	26201251	≥ 5:1 且 < 30:1
成都市新津区	综合管理（一）	26201252	≥ 5:1 且 < 30:1
成都市新津区	综合管理（二）	26201253	≥ 5:1 且 < 30:1
简阳市	综合管理	26201254	< 5:1
简阳市	综合管理	26201255	≥ 5:1 且 < 30:1
简阳市	综合管理	26201256	< 5:1
简阳市	综合管理	26201257	< 5:1
简阳市	综合管理	26201258	≥ 5:1 且 < 30:1
简阳市	综合管理	26201259	< 5:1
简阳市	投促专员	26201272	≥ 30:1 且 < 50:1
简阳市	综合管理	26201273	≥ 5:1 且 < 30:1
简阳市	综合管理	26201274	≥ 5:1 且 < 30:1
都江堰市	综合管理	26201275	≥ 5:1 且 < 30:1
都江堰市	综合管理	26201276	< 5:1
都江堰市	综合管理	26201277	≥ 5:1 且 < 30:1
都江堰市	综合管理（一）	26201278	< 5:1
都江堰市	综合管理（二）	26201279	< 5:1
都江堰市	综合管理	26201280	< 5:1
都江堰市	综合管理	26201281	< 5:1
都江堰市	综合管理（一）	26201282	< 5:1
都江堰市	综合管理（二）	26201283	< 5:1
都江堰市	综合管理	26201284	< 5:1
都江堰市	综合管理	26201285	≥ 5:1 且 < 30:1
都江堰市	综合管理	26201286	< 5:1
都江堰市	综合管理	26201287	< 5:1
都江堰市	综合管理	26201288	≥ 5:1 且 < 30:1
都江堰市	综合管理	26201289	< 5:1
都江堰市	综合管理	26201297	< 5:1
都江堰市	综合管理	26201298	< 5:1
都江堰市	综合管理	26201299	< 5:1
都江堰市	综合管理	26201300	< 5:1
都江堰市	综合管理	26201301	< 5:1
彭州市	业务岗位（一）	26201302	≥ 5:1 且 < 30:1
彭州市	业务岗位（二）	26201303	≥ 5:1 且 < 30:1
彭州市	业务岗位（八）	26201309	≥ 5:1 且 < 30:1
彭州市	业务岗位（九）	26201310	≥ 5:1 且 < 30:1
彭州市	业务岗位（十）	26201311	≥ 5:1 且 < 30:1
彭州市	业务岗位（十一）	26201312	≥ 5:1 且 < 30:1
邛崃市	金融管理	26201313	≥ 5:1 且 < 30:1
邛崃市	财务管理	26201314	< 5:1
邛崃市	电子商务	26201315	< 5:1
邛崃市	综合管理	26201316	≥ 5:1 且 < 30:1
邛崃市	综合管理	26201323	≥ 5:1 且 < 30:1
邛崃市	智慧城市建设	26201324	≥ 5:1 且 < 30:1
邛崃市	智慧城市建设	26201325	< 5:1
邛崃市	宣传教育	26201326	≥ 5:1 且 < 30:1
邛崃市	规划建设	26201327	< 5:1
邛崃市	综合文稿	26201328	< 5:1
邛崃市	农业生产	26201329	< 5:1
邛崃市	综合管理	26201330	< 5:1
邛崃市	综合管理	26201331	< 5:1
邛崃市	财务管理	26201332	< 5:1
邛崃市	规划建设	26201333	< 5:1
崇州市	财务管理	26201334	≥ 5:1 且 < 30:1
崇州市	综合管理（一）	26201335	< 5:1
崇州市	综合管理（二）	26201336	≥ 5:1 且 < 30:1
崇州市	综合管理（一）	26201337	< 5:1
崇州市	综合管理（二）	26201338	≥ 5:1 且 < 30:1
崇州市	综合管理	26201339	< 5:1
崇州市	医保稽核	26201340	< 5:1
崇州市	文旅宣传	26201350	< 5:1
崇州市	综合管理	26201351	< 5:1
崇州市	乡村振兴	26201352	< 5:1
崇州市	乡村振兴	26201353	< 5:1
金堂县	经济金融	26201354	< 5:1
金堂县	风险管控	26201355	< 5:1
金堂县	综合管理	26201378	< 5:1
金堂县	综合管理	26201379	< 5:1
金堂县	综合管理	26201380	< 5:1
金堂县	综合管理	26201381	< 5:1
金堂县	综合管理	26201382	< 5:1
金堂县	综合管理	26201383	< 5:1
金堂县	乡村振兴（一）	26201384	< 5:1
金堂县	乡村振兴（二）	26201385	< 5:1
大邑县	综合管理（一）	26201386	< 5:1
大邑县	综合管理（二）	26201387	< 5:1
大邑县	综合管理	26201388	< 5:1
大邑县	综合管理	26201389	< 5:1
大邑县	乡村振兴	26201390	< 5:1
大邑县	国土空间	26201391	< 5:1
大邑县	城乡环境管理	26201392	< 5:1
大邑县	财务管理	26201393	< 5:1
大邑县	综合管理	26201394	< 5:1
大邑县	综合管理（一）	26201395	< 5:1
大邑县	综合管理（二）	26201396	< 5:1
大邑县	综合管理（三）	26201397	< 5:1
大邑县	综合管理（四）	26201398	< 5:1
大邑县	综合管理（五）	26201399	< 5:1
大邑县	物资管理	26201400	< 5:1
大邑县	财务管理	26201401	< 5:1
大邑县	数据维护	26201402	< 5:1
大邑县	综合管理	26201403	< 5:1
蒲江县	综合管理	26201413	≥ 5:1 且 < 30:1
蒲江县	综合管理	26201414	< 5:1
蒲江县	项目招引	26201415	< 5:1
蒲江县	综合管理（一）	26201423	≥ 5:1 且 < 30:1
蒲江县	综合管理（二）	26201424	≥ 5:1 且 < 30:1
自贡高新区	工作人员	26202020	≥ 5:1 且 < 30:1
自贡市自流井区	工作人员	26202023	< 5:1
自贡市自流井区	工作人员	26202024	< 5:1
自贡市自流井区	工作人员	26202025	< 5:1
自贡市自流井区	工作人员	26202032	< 5:1
自贡市自流井区	工作人员	26202033	< 5:1
自贡市自流井区	工作人员	26202034	≥ 5:1 且 < 30:1
自贡市自流井区	工作人员	26202035	< 5:1
自贡市自流井区	工作人员	26202040	≥ 5:1 且 < 30:1
自贡市自流井区	工作人员	26202041	< 5:1
自贡市自流井区	工作人员	26202042	< 5:1
自贡市自流井区	工作人员	26202043	< 5:1
自贡市贡井区	工作人员	26202047	< 5:1
自贡市贡井区	工作人员	26202048	< 5:1
自贡市贡井区	工作人员	26202049	< 5:1
自贡市贡井区	工作人员	26202050	< 5:1
自贡市贡井区	工作人员	26202051	< 5:1
自贡市贡井区	工作人员	26202052	< 5:1
自贡市贡井区	工作人员	26202053	< 5:1
自贡市贡井区	工作人员	26202054	< 5:1
自贡市贡井区	工作人员	26202055	≥ 5:1 且 < 30:1
自贡市贡井区	工作人员	26202056	< 5:1
自贡市贡井区	工作人员	26202057	≥ 5:1 且 < 30:1
自贡市贡井区	工作人员	26202058	< 5:1
自贡市大安区	工作人员	26202075	≥ 5:1 且 < 30:1
自贡市大安区	工作人员	26202076	≥ 5:1 且 < 30:1
自贡市大安区	工作人员	26202078	< 5:1
自贡市大安区	工作人员	26202079	< 5:1
自贡市大安区	工作人员	26202081	< 5:1
自贡市大安区	工作人员	26202082	< 5:1
自贡市大安区	工作人员	26202083	< 5:1
自贡市大安区	工作人员	26202084	< 5:1
自贡市大安区	工作人员	26202087	< 5:1
自贡市大安区	工作人员	26202090	< 5:1
自贡市大安区	工作人员	26202091	< 5:1
自贡市大安区	工作人员	26202092	< 5:1
自贡市大安区	工作人员	26202093	< 5:1
自贡市大安区	工作人员	26202096	< 5:1
自贡市大安区	工作人员	26202097	< 5:1
自贡市大安区	工作人员	26202098	< 5:1
自贡市大安区	工作人员	26202099	< 5:1
自贡市大安区	工作人员	26202100	< 5:1
自贡市大安区	工作人员	26202101	< 5:1
自贡市大安区	工作人员	26202102	< 5:1
自贡市大安区	工作人员	26202103	< 5:1
自贡市大安区	工作人员	26202104	< 5:1
自贡市大安区	工作人员	26202105	≥ 5:1 且 < 30:1
自贡市沿滩区	工作人员	26202111	< 5:1
自贡市沿滩区	工作人员	26202112	≥ 5:1 且 < 30:1
自贡市沿滩区	工作人员	26202113	< 5:1
自贡市沿滩区	工作人员	26202114	≥ 5:1 且 < 30:1
自贡市沿滩区	工作人员	26202115	< 5:1
自贡市沿滩区	工作人员	26202116	< 5:1
自贡市沿滩区	工作人员	26202117	< 5:1
自贡市沿滩区	工作人员	26202118	< 5:1
自贡市沿滩区	工作人员	26202126	< 5:1
自贡市沿滩区	工作人员	26202127	< 5:1
自贡市沿滩区	工作人员	26202128	≥ 5:1 且 < 30:1
自贡市沿滩区	工作人员	26202129	< 5:1
自贡市沿滩区	工作人员	26202130	< 5:1
自贡市沿滩区	工作人员	26202131	< 5:1
荣县	工作人员	26202132	< 5:1
荣县	工作人员	26202133	< 5:1
荣县	工作人员	26202134	< 5:1
荣县	工作人员	26202135	≥ 5:1 且 < 30:1
荣县	工作人员	26202136	< 5:1
荣县	工作人员	26202138	< 5:1
荣县	工作人员	26202139	< 5:1
荣县	工作人员	26202140	< 5:1
荣县	工作人员	26202141	< 5:1
荣县	工作人员	26202144	< 5:1
荣县	工作人员	26202145	< 5:1
荣县	工作人员	26202146	< 5:1
荣县	工作人员	26202147	< 5:1
荣县	工作人员	26202148	< 5:1
荣县	工作人员	26202149	< 5:1
荣县	工作人员	26202150	< 5:1
荣县	工作人员	26202151	< 5:1
荣县	工作人员	26202157	< 5:1
荣县	工作人员	26202158	< 5:1
荣县	工作人员	26202159	< 5:1
荣县	工作人员	26202160	< 5:1
荣县	工作人员	26202161	< 5:1
荣县	工作人员	26202162	< 5:1
荣县	工作人员	26202163	< 5:1
荣县	工作人员	26202164	< 5:1
荣县	工作人员	26202165	< 5:1
荣县	工作人员	26202166	< 5:1
荣县	工作人员	26202167	< 5:1
荣县	工作人员	26202168	< 5:1
荣县	工作人员	26202169	< 5:1
荣县	工作人员	26202170	< 5:1
荣县	工作人员	26202171	< 5:1
荣县	工作人员	26202172	< 5:1
荣县	工作人员	26202173	< 5:1
荣县	工作人员	26202174	< 5:1
富顺县	工作人员	26202183	≥ 5:1 且 < 30:1
富顺县	工作人员	26202184	< 5:1
富顺县	工作人员	26202185	< 5:1
富顺县	工作人员	26202186	< 5:1
富顺县	工作人员	26202187	< 5:1
富顺县	工作人员	26202188	< 5:1
富顺县	工作人员	26202192	< 5:1
富顺县	工作人员	26202193	< 5:1
富顺县	工作人员	26202198	< 5:1
富顺县	工作人员	26202201	< 5:1
富顺县	工作人员	26202205	< 5:1
富顺县	工作人员	26202206	< 5:1
富顺县	工作人员	26202207	< 5:1
富顺县	工作人员	26202208	< 5:1
富顺县	工作人员	26202209	< 5:1
富顺县	工作人员	26202210	< 5:1
富顺县	工作人员	26202211	< 5:1
富顺县	工作人员	26202212	< 5:1
富顺县	工作人员	26202213	< 5:1
富顺县	工作人员	26202214	< 5:1
富顺县	工作人员	26202215	< 5:1
富顺县	工作人员	26202216	< 5:1
富顺县	工作人员	26202217	< 5:1
富顺县	工作人员	26202218	< 5:1
富顺县	工作人员	26202219	< 5:1
富顺县	工作人员	26202220	< 5:1
富顺县	工作人员	26202221	< 5:1
富顺县	工作人员	26202222	< 5:1
攀枝花市东区	纪检监察	26203030	< 5:1
攀枝花市东区	经济管理	26203031	< 5:1
攀枝花市东区	电子政务服务	26203034	< 5:1
攀枝花市东区	办公室综合管理	26203035	< 5:1
攀枝花市东区	劳动保障监察	26203036	< 5:1
攀枝花市东区	普查事务	26203040	< 5:1
攀枝花市东区	经济责任审计	26203041	< 5:1
攀枝花市东区	卫生健康综合管理	26203042	< 5:1
攀枝花市西区	档案管理	26203043	< 5:1
攀枝花市西区	信息管理	26203044	< 5:1
攀枝花市西区	预算管理	26203045	< 5:1
攀枝花市西区	绩效评价	26203046	< 5:1
攀枝花市西区	就业服务	26203047	< 5:1
攀枝花市西区	安全生产监管	26203048	< 5:1
攀枝花市西区	安全生产监管	26203049	< 5:1
攀枝花市西区	经济责任审计	26203051	< 5:1
攀枝花市西区	经济责任审计	26203052	≥ 5:1 且 < 30:1
攀枝花市西区	医药服务与监管	26203055	< 5:1
攀枝花市西区	财务	26203056	< 5:1
攀枝花市西区	综合管理	26203057	< 5:1
攀枝花市西区	综合管理	26203058	< 5:1
攀枝花市仁和区	行政审批管理	26203061	< 5:1
